district,pm_id,year,quarter,result
Nakaseke District,7,2019,2,2
Nakaseke District,7,2019,4,2
Nakaseke District,7,2020,2,2
Nakaseke District,8,2018,2,2
Nakaseke District,8,2018,4,2
Nakaseke District,8,2019,2,3
Nakaseke District,8,2019,4,3
Nakaseke District,8,2020,2,3
Nakaseke District,9,2018,2,1
Nakaseke District,9,2018,4,1
Nakaseke District,9,2019,2,1
Nakaseke District,9,2019,4,2
Nakaseke District,9,2020,2,1
Nakaseke District,10,2018,2,1
Nakaseke District,10,2018,4,1
Nakaseke District,10,2019,2,2
Nakaseke District,10,2019,4,2
Nakaseke District,10,2020,2,2
Nakaseke District,11,2018,2,
Nakaseke District,11,2018,4,1
Nakaseke District,11,2019,2,1
Nakaseke District,11,2019,4,1
Nakaseke District,11,2020,2,1
Nakaseke District,12,2018,2,
Nakaseke District,12,2018,4,
Nakaseke District,12,2019,2,1
Nakaseke District,12,2019,4,1
Nakaseke District,12,2020,2,1
National,1,2020,2,3
National,2,2020,2,3
National,3,2020,2,2
National,4,2020,2,2
National,5,2020,2,1
Kamuli District,1,2018,2,2
Kamuli District,1,2018,4,2
Kamuli District,1,2019,2,3
Kamuli District,1,2019,4,3
Kamuli District,2,2020,2,3
Kamuli District,2,2018,2,
Kamuli District,2,2018,4,1
Kamuli District,2,2019,2,1
Kamuli District,2,2019,4,1
Kamuli District,3,2020,2,2
Kamuli District,3,2018,2,2
Kamuli District,3,2018,4,2
Kamuli District,3,2019,2,2
Kamuli District,3,2019,4,2
Kamuli District,3,2020,2,2
Kamuli District,4,2018,2,2
Kamuli District,4,2018,4,2
Kamuli District,4,2019,2,2
Kamuli District,4,2019,4,2
Kamuli District,4,2020,2,2
Kamuli District,5,2018,2,2
Kamuli District,5,2018,4,2
Kamuli District,5,2019,2,2
Kamuli District,5,2019,4,3
Kamuli District,5,2020,2,3
Kamuli District,6,2018,2,2
Kamuli District,6,2018,4,2
Kamuli District,6,2019,2,2
Kamuli District,6,2019,4,2
Kamuli District,6,2020,2,2
Kamuli District,7,2018,2,2
Kamuli District,7,2018,4,2
Kamuli District,7,2019,2,2
Kamuli District,7,2019,4,1
Kamuli District,7,2020,2,1
Kamuli District,8,2018,2,2
Kamuli District,8,2018,4,2
Kamuli District,8,2019,2,3
Kamuli District,8,2019,4,3
Kamuli District,8,2020,2,3
Kamuli District,9,2018,2,
Kamuli District,9,2018,4,
Kamuli District,9,2019,2,2
Kamuli District,9,2019,4,1
Kamuli District,9,2020,2,1
Kamuli District,10,2018,2,2
Kamuli District,10,2018,4,2
Kamuli District,10,2019,2,2
Kamuli District,10,2019,4,2
Kamuli District,10,2020,2,2
Kamuli District,11,2018,2,1
Kamuli District,11,2018,4,
Kamuli District,11,2019,2,2
Kamuli District,11,2019,4,1
Kamuli District,11,2020,2,1
Kamuli District,12,2018,2,
Kamuli District,12,2018,4,1
Kamuli District,12,2019,2,2
Kamuli District,12,2019,4,1
Kamuli District,12,2020,2,1
Mile Learning Alliance,1,2018,4,2
Mile Learning Alliance,1,2019,2,2
Mile Learning Alliance,1,2019,4,3
Mile Learning Alliance,1,2020,2,2
Mile Learning Alliance,2,2018,4,1
Mile Learning Alliance,2,2019,2,2
Mile Learning Alliance,2,2019,4,3
Mile Learning Alliance,2,2020,2,3
Mile Learning Alliance,3,2018,4,1
Mile Learning Alliance,3,2019,2,2
Mile Learning Alliance,3,2019,4,2
Mile Learning Alliance,3,2020,2,2
Mile Learning Alliance,4,2018,4,1
Mile Learning Alliance,4,2019,2,1
Mile Learning Alliance,4,2019,4,1
Mile Learning Alliance,4,2020,2,2
Mile Learning Alliance,5,2018,4,
Mile Learning Alliance,5,2019,2,2
Mile Learning Alliance,5,2019,4,2
Mile Learning Alliance,5,2020,2,2
Mile Learning Alliance,6,2018,4,1
Mile Learning Alliance,6,2019,2,1
Mile Learning Alliance,6,2019,4,1
Mile Learning Alliance,6,2020,2,1
South Ari Learning Alliance,1,2018,4,2
South Ari Learning Alliance,1,2019,2,2
South Ari Learning Alliance,1,2019,4,2
South Ari Learning Alliance,1,2020,2,3
